Time [s], Analyzer Name, Decoded Protocol Result
12.756818000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='6' (0x6) (Tuner2)
12.775886000000000,HDMI CEC,End of Message = 1
12.778269000000000,HDMI CEC,Acknowledgment = 0
13.120751500000001,HDMI CEC,Start Sequence
13.125221500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='7' (0x7) (Tuner3)
13.144299999999999,HDMI CEC,End of Message = 1
13.146685000000000,HDMI CEC,Acknowledgment = 0
13.156224999999999,HDMI CEC,Start Sequence
13.160694500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='7' (0x7) (Tuner3)
13.179765000000000,HDMI CEC,End of Message = 1
13.182148500000000,HDMI CEC,Acknowledgment = 0
14.121043999999999,HDMI CEC,Start Sequence
14.125509500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='8' (0x8) (Player2)
14.144567500000001,HDMI CEC,End of Message = 1
14.146950500000001,HDMI CEC,Acknowledgment = 0
14.156482499999999,HDMI CEC,Start Sequence
14.160950000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='8' (0x8) (Player2)
14.180007000000000,HDMI CEC,End of Message = 1
14.182389499999999,HDMI CEC,Acknowledgment = 0
15.900015000000000,HDMI CEC,Start Sequence
15.904484999999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\t (0x9) (Recorder3)
15.923560500000001,HDMI CEC,End of Message = 1
15.925945000000000,HDMI CEC,Acknowledgment = 0
15.935483500000000,HDMI CEC,Start Sequence
15.939953500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\t (0x9) (Recorder3)
15.959025499999999,HDMI CEC,End of Message = 1
15.961409500000000,HDMI CEC,Acknowledgment = 0
16.901524500000001,HDMI CEC,Start Sequence
16.905993500000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\n (0xA) (Tuner4)
16.925061500000002,HDMI CEC,End of Message = 1
16.927444500000000,HDMI CEC,Acknowledgment = 0
16.936976500000000,HDMI CEC,Start Sequence
16.941442500000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\n (0xA) (Tuner4)
16.960510500000002,HDMI CEC,End of Message = 1
16.962893999999999,HDMI CEC,Acknowledgment = 0
17.901154500000001,HDMI CEC,Start Sequence
17.905622000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='11' (0xB) (Player3)
17.924688000000000,HDMI CEC,End of Message = 1
17.927071500000000,HDMI CEC,Acknowledgment = 0
