Time [s], Analyzer Name, Decoded Protocol Result
2.049582500000000,HDMI CEC,Start Sequence
2.054139000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='8' (0x8) (Player2)
2.073579500000000,HDMI CEC,End of Message = 1
2.076010000000000,HDMI CEC,Acknowledgment = 0
2.083501500000000,HDMI CEC,Start Sequence
2.088059000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='8' (0x8) (Player2)
2.107505000000000,HDMI CEC,End of Message = 1
2.109936000000000,HDMI CEC,Acknowledgment = 0
2.136040500000000,HDMI CEC,Start Sequence
2.140598000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\t (0x9) (Recorder3)
2.160041500000000,HDMI CEC,End of Message = 1
2.162470000000000,HDMI CEC,Acknowledgment = 0
2.170569000000000,HDMI CEC,Start Sequence
2.175124500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\t (0x9) (Recorder3)
2.194568000000000,HDMI CEC,End of Message = 1
2.196999000000000,HDMI CEC,Acknowledgment = 0
2.204494000000000,HDMI CEC,Start Sequence
2.209051000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\t (0x9) (Recorder3)
2.228497500000000,HDMI CEC,End of Message = 1
2.230929000000000,HDMI CEC,Acknowledgment = 0
2.258426500000000,HDMI CEC,Start Sequence
2.262986000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\n (0xA) (Tuner4)
2.282431000000000,HDMI CEC,End of Message = 1
2.284861500000000,HDMI CEC,Acknowledgment = 0
2.292960000000000,HDMI CEC,Start Sequence
2.297517500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\n (0xA) (Tuner4)
2.316957500000000,HDMI CEC,End of Message = 1
2.319387500000000,HDMI CEC,Acknowledgment = 0
2.326880500000000,HDMI CEC,Start Sequence
2.331436000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\n (0xA) (Tuner4)
2.350877500000000,HDMI CEC,End of Message = 1
2.353308500000000,HDMI CEC,Acknowledgment = 0
2.379380000000000,HDMI CEC,Start Sequence
2.383937500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='11' (0xB) (Player3)
2.403380000000000,HDMI CEC,End of Message = 1
2.405810500000000,HDMI CEC,Acknowledgment = 0
2.413908000000000,HDMI CEC,Start Sequence
2.418465500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='11' (0xB) (Player3)
2.437907000000000,HDMI CEC,End of Message = 1
2.440337000000000,HDMI CEC,Acknowledgment = 0
2.447829500000000,HDMI CEC,Start Sequence
2.452383000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='11' (0xB) (Player3)
2.471821000000000,HDMI CEC,End of Message = 1
2.474250500000000,HDMI CEC,Acknowledgment = 0
2.501670500000000,HDMI CEC,Start Sequence
2.506228500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='12' (0xC) (Reserved1)
2.525668500000000,HDMI CEC,End of Message = 1
2.528097500000000,HDMI CEC,Acknowledgment = 0
2.536196000000000,HDMI CEC,Start Sequence
2.540753500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='12' (0xC) (Reserved1)
2.560182000000000,HDMI CEC,End of Message = 1
2.562611500000000,HDMI CEC,Acknowledgment = 0
2.570098500000000,HDMI CEC,Start Sequence
